Object Name,Discovery Year,host name
HAT-P-70 b,2019,2MASS J01225093-2439505
HAT-P-8,2008,HAT-P-8
HAT-P-8 b,2008,CoRoT-1
HAT-P-9,2008,HAT-P-9
HAT-P-9 b,2008,CoRoT-13
HATS-1,2012,HATS-1
HATS-1 b,2012,CoRoT-36
HATS-10,2015,HATS-10
HATS-10 b,2015,Kepler-1026
HATS-11,2016,HATS-11
HATS-11 b,2016,81 Cet
HATS-12,2016,HATS-12
HATS-12 b,2016,Kepler-639
HATS-13,2015,HATS-13
HATS-13 b,2015,HATS-37 A
HATS-14,2015,HATS-14
HATS-14 b,2015,KELT-7
HATS-15,2016,HATS-15
HATS-15 b,2016,K2-371
HATS-16,2016,HATS-16
HATS-16 b,2016,CoRoT-6
HATS-17,2016,HATS-17
HATS-17 b,2016,Kepler-617
HATS-18,2016,HATS-18
HATS-18 b,2016,CoRoT-26
HATS-2,2013,HATS-2
HATS-2 b,2013,K2-288 B
HATS-22,2017,HATS-22
HATS-22 b,2017,Kepler-564
HATS-23,2017,HATS-23
HATS-23 b,2017,2MASS J0249-0557 A
HATS-24,2017,HATS-24
HATS-24 b,2017,CoRoT-12
HATS-25,2016,HATS-25
HATS-25 b,2016,Gaia22dkvL
HATS-26,2016,HATS-26
HATS-26 b,2016,2MASS J11550485-7919108
HATS-27,2016,HATS-27
HATS-27 b,2016,BD+48 738
HATS-28,2016,HATS-28
HATS-28 b,2016,HD 92788
HATS-29,2016,HATS-29
HATS-29 b,2016,GJ 273
HATS-3,2013,HATS-3
HATS-3 b,2013,CoRoT-19
HATS-30,2016,HATS-30
HATS-30 b,2016,HIP 8541
HATS-31,2016,HATS-31
HATS-31 b,2016,7 CMa
HATS-32,2016,HATS-32
HATS-32 b,2016,GJ 3222
HATS-33,2016,HATS-33
HATS-33 b,2016,HAT-P-26
HATS-34,2016,HATS-34
HATS-34 b,2016,bet Pic
HATS-35,2016,HATS-35
HATS-35 b,2016,BD-06 1339
HATS-36,2018,HATS-36
HATS-36 b,2018,K2-154
HATS-37,2020,HATS-37 A
HATS-37 A b,2020,Kepler-666
HATS-38,2020,HATS-38
HATS-38 b,2020,Kepler-664
HATS-39,2018,HATS-39
HATS-39 b,2018,b Cen A
HATS-4,2014,HATS-4
HATS-4 b,2014,Kepler-1001
HATS-40,2018,HATS-40
HATS-40 b,2018,alf Tau
HATS-41,2018,HATS-41
HATS-41 b,2018,CoRoT-25
HATS-42,2018,HATS-42
HATS-42 b,2018,CoRoT-10
HATS-43,2018,HATS-43
HATS-43 b,2018,HIP 21152
HATS-44,2018,HATS-44
HATS-44 b,2018,K2-97
HATS-45,2018,HATS-45
HATS-45 b,2018,DH Tau
HATS-46,2018,HATS-46
HATS-46 b,2018,Kepler-577
HATS-47,2020,HATS-47
HATS-47 b,2020,K2-290
HATS-48,2020,HATS-48 A
HATS-48 A b,2020,Kepler-615
HATS-49,2020,HATS-49
HATS-49 b,2020,Kepler-620
HATS-5,2014,HATS-5
HATS-5 b,2014,Kepler-575
HATS-50,2017,HATS-50
HATS-50 b,2017,K2-250
HATS-51,2017,HATS-51
HATS-51 b,2017,COCONUTS-2 A
HATS-52,2017,HATS-52
HATS-52 b,2017,CoRoT-18
HATS-53,2017,HATS-53
HATS-53 b,2017,CoRoT-22
HATS-54,2019,HATS-54
HATS-54 b,2019,Kepler-1005
HATS-55,2019,HATS-55
HATS-55 b,2019,GJ 3021
HATS-56,2019,HATS-56
HATS-56 b,2019,42 Dra
HATS-57,2019,HATS-57
HATS-57 b,2019,K2-22
HATS-58,2019,HATS-58 A
HATS-58 A b,2019,K2-4
HATS-59,2018,HATS-59
HATS-59 b,2018,K2-252
HATS-59 c,2018,K2-383
HATS-6,2015,HATS-6
HATS-6 b,2015,Kepler-1016
HATS-60,2018,HATS-60
HATS-60 b,2018,K2-153
HATS-61,2018,HATS-61
HATS-61 b,2018,HD 9174
HATS-62,2018,HATS-62
HATS-62 b,2018,KELT-2 A
HATS-63,2018,HATS-63
HATS-63 b,2018,HATS-4
HATS-64,2018,HATS-64
HATS-64 b,2018,51 Peg
HATS-65,2018,HATS-65
HATS-65 b,2018,BD+45 564
HATS-66,2018,HATS-66
HATS-66 b,2018,CHXR 73
HATS-67,2018,HATS-67
HATS-67 b,2018,47 UMa
HATS-68,2018,HATS-68
HATS-68 b,2018,Gl 49
HATS-69,2018,HATS-69
HATS-69 b,2018,Kepler-568
HATS-7,2015,HATS-7
HATS-7 b,2015,Kepler-675
HATS-70,2019,HATS-70
HATS-70 b,2019,CoRoT-17
HATS-71,2020,HATS-71
HATS-71 b,2020,Kepler-1000
HATS-72,2020,HATS-72
HATS-72 b,2020,Kepler-634
HATS-74,2021,HATS-74 A
HATS-74 A b,2021,KELT-9
HATS-75,2021,HATS-75
HATS-75 b,2021,Kepler-588
HATS-76,2021,HATS-76
HATS-76 b,2021,K2-77
HATS-77,2021,HATS-77
HATS-77 b,2021,K2-113
HATS-8,2015,HATS-8
HATS-8 b,2015,Kepler-59
HATS-9,2015,HATS-9
HATS-9 b,2015,Gl 378
HD 100546,2014,HD 100546
HD 100546 b,2014,11 Com
HD 100655,2011,HD 100655
HD 100655 b,2011,HATS-46
HD 100777,2007,HD 100777
HD 100777 b,2007,HAT-P-30
HD 101581 b,2025,HD 90156
HD 101581 c,2025,HD 10975
HD 10180,2010,HD 10180
HD 10180 c,2010,Kepler-819
HD 10180 d,2010,Kepler-860
HD 10180 e,2010,Kepler-705
HD 10180 f,2010,Kepler-715
HD 10180 g,2010,Kepler-730
HD 10180 h,2010,Kepler-6
HD 101930,2005,HD 101930
HD 101930 b,2005,Kepler-566
HD 102117,2005,HD 102117
HD 102117 b,2005,Kepler-623
HD 102195,2006,HD 102195
HD 102195 b,2006,EPIC 212587672
HD 102272,2008,HD 102272
HD 102272 b,2008,K2-159
HD 102329,2011,HD 102329
HD 102329 b,2011,K2-258
HD 102329 c,2018,HATS-47
HD 102365,2010,HD 102365
HD 102365 b,2010,Kepler-775
HD 102843,2019,HD 102843
HD 102843 b,2019,HN Lib
HD 102956,2010,HD 102956
HD 102956 b,2010,GU Psc
HD 103197,2009,HD 103197
HD 103197 b,2009,Kepler-69
HD 103720,2014,HD 103720
HD 103720 b,2014,GJ 1002
HD 103774,2013,HD 103774
HD 103774 b,2013,HD 95089
HD 103891,2022,HD 103891
HD 103891 b,2022,HIP 35965
HD 103949,2019,HD 103949
HD 103949 b,2019,KMT-2016-BLG-0212L
HD 104067,2009,HD 104067
HD 104067 b,2009,Kepler-607
HD 104067 c,2024,Kepler-818
HD 10442,2014,HD 10442
HD 10442 b,2014,HAT-P-67
HD 104985,2003,HD 104985
HD 104985 b,2003,K2-184
HD 105618,2022,HD 105618
HD 105618 b,2022,Kepler-701
HD 105618 c,2022,Kapteyn
HD 105779,2022,HD 105779
HD 105779 b,2022,GJ 1061
HD 106252,2002,HD 106252
HD 106252 b,2002,K2-3
HD 106270,2011,HD 106270
HD 106270 b,2011,K2-351
HD 106315,2017,HD 106315
HD 106315 b,2017,OGLE-TR-56
HD 106315 c,2017,Kepler-757
HD 10647,2006,HD 10647
HD 10647 b,2006,HAT-P-1
HD 106515,2012,HD 106515 A
HD 106515 A b,2012,K2-30
HD 106906,2013,HD 106906
HD 106906 b,2013,K2-352
HD 10697,1999,HD 10697
HD 10697 b,1999,K2-185
HD 107148,2005,HD 107148
HD 107148 b,2005,Kepler-593
HD 107148 c,2021,Kepler-739
HD 108147,2002,HD 108147
HD 108147 b,2002,Kepler-1021
HD 108202,2023,HD 108202
HD 108202 b,2023,HN Peg
HD 108236,2020,HD 108236
HD 108236 b,2020,DENIS-P J082303.1-491201
HD 108236 c,2020,UCAC4 328-061594
HD 108236 d,2020,OGLE-2017-BLG-1275L
HD 108236 e,2020,KMT-2021-BLG-0912L
HD 108236 f,2021,WASP-117
HD 108341,2014,HD 108341
HD 108341 b,2014,HD 95127
HD 108863,2011,HD 108863
HD 108863 b,2011,HD 95338
HD 108874,2002,HD 108874
HD 108874 b,2002,HAT-P-68
HD 108874 c,2005,HAT-P-11
HD 109246,2010,HD 109246
HD 109246 b,2010,GJ 649
HD 109271,2013,HD 109271
HD 109271 b,2013,Kepler-762
HD 109271 c,2013,Kepler-712
HD 109286,2021,HD 109286
HD 109286 b,2021,HIP 38594
HD 109749,2005,HD 109749
HD 109749 b,2005,Kepler-1018
HD 10975,2021,HD 10975
HD 10975 b,2021,EPIC 201170410
HD 109833,2022,HD 109833
HD 109833 b,2022,LHS 1140
HD 109833 c,2022,OGLE-2014-BLG-0124L
HD 109988,2022,HD 109988
HD 109988 b,2022,K2-50
HD 307842,2014,HD 307842
HD 39091,2016,HD 39091
HD 42813,2015,HD 42813
HD 80653,2011,HD 80653
HD 89744,2009,HD 89744
HD 89744 b,2009,K2-353
HD 89839,2023,HD 89839
HD 89839 b,2023,TOI-5803
HD 90156,2023,HD 90156
HD 90156 b,2023,TAP 26
HD 9174,2023,HD 9174
HD 9174 b,2023,LSPM J2116+0234
HD 92788,2023,HD 92788
HD 92788 b,2023,WASP-16
HD 92788 c,2023,OGLE-2012-BLG-0026L
HD 93083,2023,HD 93083
HD 93083 b,2023,OGLE-2011-BLG-0173L
HD 93351,2021,HD 93351
HD 93351 b,2021,KMT-2019-BLG-0298L
HD 93351 c,2021,V0391 Peg
HD 93385,2021,HD 93385
HD 93385 b,2021,TOI-954
HD 93385 c,2022,KELT-1
HD 93385 d,2022,K2-259
HD 93963,2003,HD 93963 A
HD 93963 A b,2003,K2-26
HD 93963 A c,2022,K2-406
HD 9446,2017,HD 9446
HD 9446 b,2017,K2-16
HD 9446 c,2016,K2-160
HD 94771,2023,HD 94771
HD 94771 b,2023,K2-407
HD 94834,2023,HD 94834
HD 94834 b,2023,HR 2562
HD 95086,2020,HD 95086
HD 95086 b,2020,K2-161
HD 95089,2013,HD 95089
HD 95089 b,2013,HR 5183
HD 95089 c,2020,K2-52
HD 95127,2022,HD 95127
HD 95127 b,2022,GJ 667 C
HD 95338,2010,HD 95338
HD 95338 b,2010,HIP 39017
HD 95544,2010,HD 95544
HD 95544 b,2010,HAT-P-12
HD 95735 c,2017,K2-224
HD 95872,2022,HD 95872
HD 95872 b,2022,Kepler-1014
HD 96063,2003,HD 96063
HD 96063 b,2003,HAT-P-31
HD 96127,2002,HD 96127
HD 96127 b,2002,GJ 674
HD 96167,2001,HD 96167
HD 96167 b,2001,HAT-P-32
HD 96700,2001,HD 96700
HD 96700 b,2018,HD 102329
HD 96700 c,2022,K2-260
HD 96700 d,2007,K2-162
HD 96992,2007,HD 96992
HD 96992 b,2008,GJ 328
HD 97037,2007,HD 97037
HD 97037 b,2022,K2-384
HD 97048,2022,HD 97048
HD 97048 b,2022,Kepler-684
HD 97658,2022,HD 97658
HD 97658 b,2022,K2-308
HD 98219,2021,HD 98219
HD 98219 b,2021,K2-261
HD 98649,2011,HD 98649
HD 98649 b,2011,HAT-P-69
HD 98736,2011,HD 98736
HD 98736 b,2018,HAT-P-33
HD 99109,2004,HD 99109
HD 99109 b,2004,HD 102365
HD 99283,2015,HD 99283
HD 99283 b,2015,K2-186
HD 99492,2004,HD 99492
HD 99492 b,2004,Kepler-62
HD 99492 c,2005,K2-289
HD 99706,2005,HD 99706
HD 99706 b,2024,K2-354
HD 99706 c,2005,GJ 1132
HIP 103768,2022,GJ 9714
HIP 105854,2005,HIP 105854
HIP 105854 b,2008,Kepler-707
HIP 107772,2005,HIP 107772
HIP 107772 b,2005,K2-225
HIP 107773,2013,HIP 107773
HIP 107773 b,2013,K2-226
HIP 109384,2003,HIP 109384
HIP 109384 b,2003,HAT-P-7
HIP 109600,2022,HIP 109600
HIP 109600 b,2022,KMT-2018-BLG-1976L
HIP 113103,2022,HIP 113103
HIP 113103 b,2022,K2-31
HIP 113103 c,2022,Kepler-578
HIP 114933,2021,HIP 114933
HIP 114933 b,2021,GJ 3293
HIP 116454,2016,HIP 116454
HIP 116454 b,2016,HIP 41378
HIP 12961,2022,HIP 12961
HIP 12961 b,2022,K2-355
HIP 14810,2019,HIP 14810
HIP 14810 b,2019,KELT-10
HIP 14810 c,2009,Qatar-4
HIP 14810 d,2007,HIP 4845
HIP 15799,2022,GJ 3222
HIP 19976,2007,HIP 19976
HIP 19976 b,2009,Kepler-782
HIP 21152,2007,HIP 21152
HIP 21152 b,2009,K2-227
HIP 29442 c,2015,HD 102843
HIP 29442 d,2018,Kepler-574
HIP 34222,2000,HIP 34222
HIP 34222 b,2000,HD 95544
HIP 35173,2000,HIP 35173
HIP 35173 b,2002,HD 102956
HIP 35965,2009,HIP 35965
HIP 35965 b,2009,K2-228
HIP 38594,2022,HIP 38594
HIP 38594 b,2022,Kepler-694
HIP 38594 c,2002,HATS-48 A
HIP 39017,2002,HIP 39017
HIP 39017 b,2005,K2-123
HIP 41378,2016,HIP 41378
HIP 41378 b,2016,GJ 676 A
HIP 41378 c,2009,HD 95872
HIP 41378 d,1999,HAT-P-34
HIP 41378 e,2011,HD 103197
HIP 41378 f,2018,HR 810
HIP 4845,2005,HIP 4845
HIP 4845 b,2005,K2-356
HIP 48714,2007,HIP 48714
HIP 48714 b,2007,K2-187
HIP 5158,2011,HIP 5158
HIP 5158 b,2011,HAT-P-70
HIP 5158 c,2016,HAT-P-8
HIP 54373,2016,HIP 54373
HIP 54373 b,2016,EPIC 201238110
HIP 54373 c,2016,HD 96063
HIP 54597,2019,HIP 54597
HIP 54597 b,2019,KMT-2019-BLG-2974L
HIP 55507,2019,HIP 55507
HIP 55507 b,2019,Kepler-688
HIP 56640,2024,HIP 56640
HIP 56640 b,2024,KMT-2023-BLG-1454L
HIP 56998,2025,HIP 56998
HIP 57274,2024,HIP 57274
HIP 57274 b,2024,KIC 5437945
HIP 57274 c,2024,Kepler-645
HIP 57274 d,2024,HAT-P-36
HIP 5763,2024,HIP 5763
HIP 5763 b,2024,TOI-530
HIP 63242,1999,HIP 63242
HIP 63242 b,1999,HATS-49
HIP 65,1999,HIP 65 A
HIP 65 A b,2009,GJ 680
HIP 65407,2023,HIP 65407
HIP 65407 b,2023,HD 96127
HIP 65407 c,2023,LP 890-9
HIP 65426,2022,HIP 65426
HIP 65426 b,2022,K2-188
HIP 65891,2022,HIP 65891
HIP 65891 b,2022,K2-385
HIP 66074,2019,HIP 66074
HIP 66074 b,2019,CoRoT-22
HIP 67522,2019,HIP 67522
HIP 67522 b,2019,KOI-3680
HIP 67522 c,2019,OGLE-2016-BLG-0613L AB
HIP 67537,2009,HIP 67537
HIP 67537 b,2009,HD 96167
HIP 67851,2021,HIP 67851
HIP 67851 b,2021,GJ 682
HIP 67851 c,2022,Kepler-630
HIP 70849,2011,HIP 70849
HIP 70849 b,2011,Kepler-601
HIP 71135,2021,HIP 71135
HIP 71135 b,2021,HAT-P-54
HIP 74890,2021,HIP 74890
HIP 74890 b,2021,K2-263
HIP 75092,2021,HIP 75092
HIP 75092 b,2021,KMT-2016-BLG-1105L
HIP 77900,2021,HIP 77900
HIP 77900 b,2021,KMT-2021-BLG-0171L
HIP 78530,2013,HIP 78530
HIP 78530 b,2013,GJ 685
HIP 79098,2013,HIP 79098 AB
HIP 79098 AB b,2013,K2-189
HIP 79431,2009,HIP 79431
HIP 79431 b,2009,HIP 48714
HIP 81208,2008,HIP 81208 C
HIP 81208 C b,2008,K2-53
HIP 8152,2018,HIP 8152
HIP 8152 b,2018,Kepler-100
HIP 8152 c,2014,K2-408
HIP 8541,2022,HIP 8541
HIP 8541 b,2022,Kepler-783
HIP 86057,2022,GJ 680
HIP 86221,2022,HIP 86221
HIP 86221 b,2022,HD 103720
HIP 90988,2021,HIP 90988
HIP 90988 b,2021,Kepler-809
HIP 91258,2014,HIP 91258
HIP 91258 b,2014,EPIC 201427007
HIP 94235,2014,HIP 94235
HIP 94235 b,2014,HAT-P-9
HIP 948,2014,HIP 948
HIP 948 b,2014,HAT-P-35
HIP 9618,2014,HIP 9618
HIP 9618 b,2014,GJ 1148
HIP 9618 c,2002,K2-315
HIP 97166,2022,HIP 97166
HIP 97166 b,2022,Kepler-1022
HIP 97166 c,2001,K2-229
HIP 97233,2022,HIP 97233
HIP 97233 b,2012,K2-357
HIP 99770,2005,HIP 99770
HIP 99770 b,2005,K2-163
HN Lib,2011,HN Lib
HN Lib b,2011,HR 858
HN Peg,2003,HN Peg
HN Peg b,2003,HATS-5
HR 2562,2016,HR 2562
HR 2562 b,2016,HAT-P-36
HR 5183,2008,HR 5183
HR 5183 b,2008,K2-164
HR 810,2022,HR 810
HR 810 b,2022,Kepler-735
HR 858,2008,HR 858
HR 858 b,2008,K2-19
HR 858 c,2010,HIP 5158
HR 858 d,2021,K2-165
HR 8799,2015,HR 8799
HR 8799 b,2015,HD 103774
HR 8799 c,2010,Pr0201
HR 8799 d,2015,TOI-5344
HR 8799 e,2009,HD 103891
HS Psc,2009,HS Psc
HS Psc b,2009,K2-230
HU Aqr,2017,HU Aqr
HU Aqr AB b,2017,Kepler-727
HU Aqr AB c,2003,HAT-P-37
IC 4651 9122,2018,IC 4651 9122
IC 4651 9122 b,2018,HAT-P-38
iot Dra,2016,iot Dra
iot Dra b,2016,GJ 9689
iot Dra c,2016,GJ 3988
IRAS 04125+2902 b,2016,K2-190
ITG 15,2016,ITG 15 A
ITG 15 b,2016,HD 96700
K2-10,2009,K2-10
K2-10 b,2009,GJ 687
K2-100,2018,K2-100
K2-100 b,2018,HAT-P-39
K2-101,2018,K2-101
K2-101 b,2018,K2-191
K2-102,2009,K2-102
K2-102 b,2009,HATS-1
K2-104,2005,K2-104
K2-104 b,2005,Kepler-629
K2-105,2005,K2-105
K2-105 b,2005,HATS-10
K2-107,2022,K2-107
K2-107 b,2022,K2-386
K2-108,2022,K2-108
K2-108 b,2022,HD 96992
K2-11,2011,K2-11
K2-11 b,2011,HIP 54373
K2-110,2012,K2-110
K2-110 b,2012,HD 97037
K2-111,2022,K2-111
K2-111 b,2022,Kepler-66
K2-111 c,2022,K2-192
K2-113,2009,K2-113
K2-113 b,2009,HIP 54597
K2-114,2011,K2-114
K2-114 b,2011,HD 103949
K2-115,2021,K2-115
K2-115 b,2021,Kepler-998
K2-116,2021,K2-116
K2-116 b,2021,Kepler-690
K2-117,2019,K2-117
K2-117 b,2019,CoRoT-30
K2-117 c,2019,ROXs 12
K2-118,2022,K2-118
K2-118 b,2022,Kepler-736
K2-119,2022,K2-119
K2-119 b,2022,Kepler-756
K2-12,2022,K2-12
K2-12 b,2022,KELT-11
K2-121,2008,K2-121
K2-121 b,2008,HIP 55507
K2-122,2021,K2-122
K2-122 b,2021,OGLE2-TR-L9
K2-123,2006,K2-123
K2-123 b,2006,HAT-P-4
K2-124,2023,K2-124
K2-124 b,2023,K2-316
K2-125,2008,K2-125
K2-125 b,2008,K2-193
K2-126,2004,K2-126
K2-126 b,2004,HD 97048
K2-127,2004,K2-127
K2-127 b,2014,HIP 56640
K2-128,2021,K2-128
K2-128 b,2021,GJ 3323
K2-129,2007,K2-129
K2-129 b,2007,HAT-P-13
K2-13,2007,K2-13
K2-13 b,2007,GJ 720 A
K2-130,2022,K2-130
K2-130 b,2022,NGTS-16
K2-131,2022,K2-131
K2-131 b,2022,K2-194
K2-132,2022,K2-132
K2-132 b,2022,Kepler-776
K2-133,2022,K2-133
K2-133 b,2022,K2-195
K2-133 c,2011,K2-317
K2-133 d,2018,K2-318
K2-133 e,2009,GJ 3341
K2-136,2010,K2-136
K2-136 b,2010,XO-5
K2-136 c,2021,Kepler-681
K2-136 d,2007,K2-358
K2-137,2011,K2-137
K2-137 b,2011,HATS-50
K2-138,2020,K2-138
K2-138 b,2020,HAT-P-66
K2-138 c,2020,TOI-5388
K2-138 d,2020,TOI-654
K2-138 e,2020,TOI-1180
K2-138 f,2020,TOI-1107
K2-138 g,2018,K2-387
K2-139,2023,K2-139
K2-139 b,2023,TOI-5301
K2-14,2023,K2-14
K2-14 b,2023,KOI-1783
K2-140,2013,K2-140
K2-140 b,2013,HAT-P-40
K2-141,2013,K2-141
K2-141 b,2013,HD 104067
K2-141 c,2006,HD 97658
K2-146,2006,K2-146
K2-146 b,2012,GJ 338 B
K2-146 c,2015,HAT-P-14
K2-147,2015,K2-147
K2-147 b,2015,K2-124
K2-148,2000,K2-148
K2-148 b,2000,HIP 4845
K2-148 c,2004,HIP 48714
K2-148 d,2004,KMT-2019-BLG-1806L
K2-149,2000,K2-149
K2-149 b,2006,HIP 5158
K2-15,2021,K2-15
K2-15 b,2021,GJ 1151
K2-150,2000,K2-150
K2-150 b,2000,Kepler-1023
K2-151,2009,K2-151
K2-151 b,2009,K2-196
K2-152,2002,K2-152
K2-152 b,2002,K2-319
K2-153,2010,K2-153
K2-153 b,2010,GJ 724
K2-154,2010,K2-154
K2-154 b,2010,HD 98219
K2-154 c,2008,Kepler-726
K2-155,2010,K2-155
K2-155 b,2010,EPIC 201497682
K2-155 c,2015,Kepler-773
K2-155 d,2009,K2-388
K2-156,2005,K2-156
K2-156 b,2005,HD 98649
K2-157,2005,K2-157
K2-157 b,2016,Kepler-824
K2-158,2005,K2-158
K2-158 b,2020,24 Sex
K2-158 c,2021,KMT-2018-BLG-1988L
K2-159,2023,K2-159
K2-159 b,2023,K2-54
K2-16,2019,K2-16
K2-16 b,2016,HIP 56998
K2-16 c,2015,K2-231
K2-160,2012,K2-160
K2-160 b,2012,K2-125
K2-161,2007,K2-161
K2-161 b,2007,HATS-11
K2-162,2023,K2-162
K2-162 b,2023,HIP 57274
K2-163,2022,K2-163
K2-163 b,2022,GJ 740
K2-164,2021,K2-164
K2-164 b,2021,KMT-2021-BLG-1303L
K2-165,1998,K2-165
K2-165 b,1998,K2-264
K2-165 c,2000,K2-409
K2-165 d,2002,Kepler-1019
K2-166,2019,K2-166
K2-166 b,2022,K2-232
K2-167,2010,K2-167
K2-167 b,2010,K2-32
K2-168,2019,K2-168
K2-168 b,2022,K2-36
K2-169,2023,K2-169
K2-169 b,2023,HR 8799
K2-17,2000,K2-17
K2-17 b,2000,HIP 5763
K2-170,2000,K2-170
K2-170 b,2003,K2-265
K2-170 c,2007,GJ 1214
K2-171,2007,K2-171
K2-171 b,2007,K2-320
K2-172,2007,K2-172
K2-172 b,2007,HIP 63242
K2-172 c,2009,K2-321
K2-173,2007,K2-173
K2-173 b,2007,K2-373
K2-174,2008,K2-174
K2-174 b,2008,HD 10442
K2-175,2022,K2-175
K2-175 b,2022,K2-126
K2-176,2009,K2-176
K2-176 b,2009,K2-389
K2-177,2007,K2-177
K2-177 b,2007,GJ 1252
K2-178,2015,K2-178
K2-178 b,2015,KOI-12
K2-179,2017,K2-179
K2-179 b,2017,GJ 806
K2-18,2017,K2-18
K2-18 b,2017,TOI-1439
K2-18 c,2017,KMT-2023-BLG-0735L
K2-180,2017,K2-180
K2-180 b,2017,Kepler-79
K2-181,1999,K2-181
K2-181 b,1999,HATS-51
K2-182,1999,K2-182
K2-182 b,2010,Kepler-638
K2-183,2001,K2-183
K2-183 b,2001,K2-266
K2-183 c,2008,Kepler-7
K2-183 d,2000,GJ 832
K2-184,2018,K2-184
K2-184 b,2018,HD 98736
K2-185,2018,K2-185
K2-185 b,2018,HS Psc
K2-185 c,2010,K2-83
K2-186,2018,K2-186
K2-186 b,2018,Kepler-847
K2-187,2009,K2-187
K2-187 b,2009,HATS-52
K2-187 c,2019,K2-322
K2-187 d,2009,HIP 65 A
K2-187 e,2022,KMT-2017-BLG-0673L
K2-188,2022,K2-188
K2-188 b,2022,K2-323
K2-188 c,2008,Qatar-5
K2-189,2008,K2-189
K2-189 b,2008,GJ 1265
K2-189 c,2008,EPIC 212624936
K2-19,2009,K2-19
K2-19 b,2009,GJ 3470
K2-19 c,2004,HU Aqr
K2-19 d,2008,K2-324
K2-190,2021,K2-190
K2-190 b,2021,Kepler-851
K2-190 c,2022,K2-55
K2-191,2022,K2-191
K2-191 b,2022,KELT-21
K2-192,2022,K2-192
K2-192 b,2022,EPIC 201595106
K2-193,2023,K2-193
K2-193 b,2023,K2-57
K2-194,2006,K2-194
K2-194 b,2006,HAT-P-15
K2-195,2023,K2-195
K2-195 b,2023,HATS-12
K2-195 c,2022,OGLE-2012-BLG-0406L
K2-196,2006,K2-196
K2-196 b,2006,GJ 849
K2-197,1998,K2-197
K2-197 b,1998,EPIC 212737443
K2-198,1998,K2-198
K2-198 b,2008,HD 104985
K2-198 c,2011,IC 4651 9122
K2-198 d,2004,HATS-13
K2-199,2022,K2-199
K2-199 b,2022,KELT-12
K2-199 c,2021,LTT 3780
K2-200,2021,K2-200
K2-200 b,2021,OGLE-2017-BLG-0482L
K2-201,2005,K2-201
K2-201 b,2005,K2-251
K2-201 c,2020,Kepler-784
K2-2016-BLG-0005L,2022,K2-2016-BLG-0005L
K2-2016-BLG-0005L b,2022,K2-166
K2-202,2003,K2-202
K2-202 b,2003,HD 105618
K2-203,2003,K2-203
K2-203 b,2005,Kepler-743
K2-204,2007,K2-204
K2-204 b,2007,HD 105779
K2-205,2009,K2-205
K2-205 b,2009,K2-127
K2-206,2016,K2-206
K2-206 b,2016,K2-325
K2-207,2020,K2-207
K2-207 b,2020,Kepler-999
K2-208,2020,K2-208
K2-208 b,2020,KMT-2019-BLG-0414L
K2-209,2020,K2-209
K2-209 b,2020,KMT-2022-BLG-1013L
K2-21,2020,K2-21
K2-21 b,2022,K2-128
K2-21 c,2022,HD 106252
K2-210,2020,K2-210
K2-210 b,2022,Kepler-812
K2-211,1999,K2-211
K2-211 b,1999,EPIC 220492298
K2-212,2011,K2-212
K2-212 b,2011,Kepler-765
K2-213,2011,K2-213
K2-213 b,2011,Kepler-714
K2-214,2007,K2-214
K2-214 b,2007,HD 106270
K2-215,2022,K2-215
K2-215 b,2022,K2-365
K2-216,1998,K2-216
K2-216 b,1998,K2-129
K2-217,2002,K2-217
K2-217 b,2002,K2-167
K2-218,2012,K2-218
K2-218 b,2012,K2-39
K2-219,2022,K2-219
K2-219 b,2022,K2-268
K2-219 c,2007,HIP 65407
K2-219 d,2012,GJ 86
K2-22,2022,K2-22
K2-22 b,2022,Kepler-65
K2-220,2003,K2-220
K2-220 b,2003,HATS-14
K2-221,2019,K2-221
K2-221 b,2019,Kepler-968
K2-222,2019,K2-222
K2-222 b,2019,Kepler-798
K2-223,2010,K2-223
K2-223 b,2010,HATS-53
K2-223 c,2010,HAT-P-41
K2-224,2004,K2-224
K2-224 b,2004,K2-411
K2-224 c,2019,HIP 54373
K2-225,2019,K2-225
K2-225 b,2019,HIP 54597
K2-226,2019,K2-226
K2-226 b,2019,BD+14 4559
K2-227,2006,K2-227
K2-227 b,2006,CT Cha
K2-228,2022,K2-228
K2-228 b,2022,BD+60 1417
K2-229,2022,K2-229
K2-229 b,2022,iot Dra
K2-229 c,2022,K2-269
K2-230,2002,K2-230
K2-230 b,2002,K2-233
K2-231,2010,K2-231
K2-231 b,2010,K2-168
K2-232,2010,K2-232
K2-232 b,2015,Kepler-763
K2-233,2010,K2-233
K2-233 b,2022,K2-412
K2-233 c,2011,Kepler-579
K2-233 d,2022,GJ 876
K2-237,2008,K2-237
K2-237 b,2008,HATS-15
K2-238,2019,K2-238
K2-238 b,2019,Kepler-670
K2-239,2009,K2-239
K2-239 b,2009,HD 106315
K2-239 c,2021,GJ 3082
K2-239 d,2022,BD-10 3166
K2-24,2023,K2-24
K2-24 b,2023,TOI-1467
K2-24 c,2019,HATS-34
K2-240,2019,K2-240
K2-240 b,2019,TOI-677
K2-240 c,2019,KMT-2018-BLG-0748L
K2-241,2019,K2-241
K2-241 b,2019,Kepler-804
K2-242,2019,K2-242
K2-242 b,2006,HATS-16
K2-243,2012,K2-243
K2-243 b,2012,EPIC 220674823
K2-243 c,2012,GJ 3473
K2-244,2021,K2-244
