Planet Name,Planet Radius [Earth Radius],Duration of a day (hours),Orbital Period [days],Planetary Type,Gravity Strength,Has Biosphere,Star Name
GJ 9827 c,1.13,11.88,3.648103,Chthonian Planet,Low,1,GJ 9827
GJ 9827 d,1.98,3.08,6.20183,Dwarf Planet,Low,1,GJ 9827
Gl 378 b,3.66,79.35,3.822,Garden World,Medium,1,Gl 378
Gl 49 b,2.24,25.07,13.8508,Proto Planet,Low,1,Gl 49
Gl 686 b,2.46,111.01,15.53,Proto Planet,Low,1,Gl 686
Gliese 12 b,0.958,41.94,12.761408,Proto Planet,Low,1,Gliese 12
GPX-1 b,16.477,72.42,1.744579,Ice Giant,High,0,GPX-1
GQ Lup b,33.6,50.64,0,Proto Planet,Low,1,GQ Lup
GSC 06214-00210 b,20.176,69.63,0,Dwarf Planet,Low,1,GSC 06214-00210
GU Psc b,14.179,106.28,0,Garden World,Medium,1,GU Psc
HAT-P-1 b,14.785,80.63,4.46529976,Ice Giant,High,0,HAT-P-1
HAT-P-11 b,4.901,26.71,4.88780244,Gas Giant,High,0,HAT-P-11
HAT-P-11 c,13.3,79.97,3299,Dwarf Planet,Low,1,HAT-P-11
HAT-P-12 b,10.749,47.22,3.2130598,Ice Giant,High,0,HAT-P-12
HAT-P-13 b,14.258,3.58,2.91625,Dwarf Planet,Low,1,HAT-P-13
HAT-P-13 c,12.3,58.74,446.27,Dwarf Planet,Low,1,HAT-P-13
HAT-P-14 b,15.917,92.52,4.62767,Chthonian Planet,Low,1,HAT-P-14
HAT-P-15 b,11.882,63.6,10.8635,Chthonian Planet,Low,1,HAT-P-15
HAT-P-16 b,14.448,113.69,2.77596,Dwarf Planet,Low,1,HAT-P-16
HAT-P-17 b,11.769,55.26,10.33852,Dwarf Planet,Low,1,HAT-P-17
HAT-P-17 c,13.1,112.46,5584,Garden World,Medium,1,HAT-P-17
HAT-P-18 b,11.153,37.59,5.508023,Dwarf Planet,Low,1,HAT-P-18
HAT-P-19 b,11.299,23.27,4.00878322,Dwarf Planet,Low,1,HAT-P-19
HAT-P-2 b,10.66,30.69,5.6335158,Proto Planet,Low,1,HAT-P-2
HAT-P-2 c,12.4,99.22,8500,Chthonian Planet,Low,1,HAT-P-2
HAT-P-20 b,9.718,38.39,2.875317,Ice Giant,High,0,HAT-P-20
HAT-P-21 b,12.442,63.72,4.12448,Dwarf Planet,Low,1,HAT-P-21
HAT-P-22 b,12.89,104.4,3.21222,Ice Giant,High,0,HAT-P-22
HAT-P-23 b,15.334,16.1,1.212884,Chthonian Planet,Low,1,HAT-P-23
HAT-P-24 b,14.572,42.11,3.35524,Gas Giant,High,0,HAT-P-24
HAT-P-25 b,12.722,90.2,3.65281514,Chthonian Planet,Low,1,HAT-P-25
HAT-P-26 b,7.062,48.43,4.23452,Proto Planet,Low,1,HAT-P-26
HAT-P-27 b,11.43,55.99,3.039577,Ice Giant,High,0,HAT-P-27
HAT-P-28 b,13.585,122.01,3.257215,Proto Planet,Low,1,HAT-P-28
HAT-P-29 b,13.115,97.99,5.72319,Chthonian Planet,Low,1,HAT-P-29
HAT-P-3 b,10.536,8.69,2.8997,Dwarf Planet,Low,1,HAT-P-3
HAT-P-30 b,16.141,93.21,2.8106,Ice Giant,High,0,HAT-P-30
HAT-P-31 b,12.218,120.02,5.00542,Dwarf Planet,Low,1,HAT-P-31
HAT-P-32 b,22.194,60.34,2.1500082,Ice Giant,High,0,HAT-P-32
HAT-P-33 b,20.737,82.35,3.47447,Dwarf Planet,Low,1,HAT-P-33
HAT-P-34 b,13.417,99.59,5.452654,Ice Giant,High,0,HAT-P-34
HAT-P-35 b,14.93,40.04,3.646706,Gas Giant,High,0,HAT-P-35
HAT-P-36 b,14.314,101.04,1.32734683,Chthonian Planet,Low,1,HAT-P-36
HAT-P-37 b,13.204,16.49,2.797436,Proto Planet,Low,1,HAT-P-37
HAT-P-38 b,9.247,3.28,4.640382,Chthonian Planet,Low,1,HAT-P-38
HAT-P-39 b,17.609,49.12,3.54387,Proto Planet,Low,1,HAT-P-39
HAT-P-4 b,14.28,39.48,3.056536,Chthonian Planet,Low,1,HAT-P-4
HAT-P-40 b,17.038,102.73,4.45724,Proto Planet,Low,1,HAT-P-40
HAT-P-41 b,22.978,119.94,2.69405,Proto Planet,Low,1,HAT-P-41
HAT-P-42 b,14.348,56.55,4.641878,Ice Giant,High,0,HAT-P-42
HAT-P-43 b,13.63,10.22,3.3326414,Gas Giant,High,0,HAT-P-43
HAT-P-44 b,13.922,2.95,4.301219,Proto Planet,Low,1,HAT-P-44
HAT-P-44 c,13,45.43,872.2,Dwarf Planet,Low,1,HAT-P-44
HAT-P-45 b,15.984,78.9,3.128992,Garden World,Medium,1,HAT-P-45
HAT-P-46 b,14.392,5.95,4.463129,Ice Giant,High,0,HAT-P-46
HAT-P-49 b,17.822,87.63,2.69155,Proto Planet,Low,1,HAT-P-49
HAT-P-5 b,13.563,3.33,2.78849,Proto Planet,Low,1,HAT-P-5
HAT-P-50 b,14.437,93.19,3.1220109,Dwarf Planet,Low,1,HAT-P-50
HAT-P-51 b,13.507,91.25,4.21802091,Proto Planet,Low,1,HAT-P-51
HAT-P-52 b,11.31,72.36,2.7535953,Ice Giant,High,0,HAT-P-52
HAT-P-53 b,14.773,85.89,1.9616241,Garden World,Medium,1,HAT-P-53
HAT-P-54 b,10.581,109.19,3.799847,Proto Planet,Low,1,HAT-P-54
HAT-P-55 b,14.841,87.34,3.5852313,Gas Giant,High,0,HAT-P-55
HAT-P-56 b,16.926,58.95,2.79083,Ice Giant,High,0,HAT-P-56
HAT-P-57 b,19.504,37.61,2.4653,Garden World,Medium,1,HAT-P-57
HAT-P-58 b,14.93,123.35,4.0138379,Ice Giant,High,0,HAT-P-58
HAT-P-59 b,12.588,39.22,4.1419771,Ice Giant,High,0,HAT-P-59
HAT-P-6 b,16.589,118.93,3.85298,Proto Planet,Low,1,HAT-P-6
HAT-P-60 b,18.282,122.26,4.7947813,Gas Giant,High,0,HAT-P-60
HAT-P-61 b,10.077,43.21,1.90231289,Chthonian Planet,Low,1,HAT-P-61
HAT-P-62 b,12.027,16.03,2.6453235,Dwarf Planet,Low,1,HAT-P-62
HAT-P-63 b,12.543,65.1,3.377728,Gas Giant,High,0,HAT-P-63
HAT-P-64 b,19.089,30.68,4.007232,Gas Giant,High,0,HAT-P-64
HAT-P-65 b,18.058,53.01,2.60544751,Proto Planet,Low,1,HAT-P-65
HAT-P-66 b,17.822,13.59,2.972086,Ice Giant,High,0,HAT-P-66
HAT-P-67 b,23.371,77.87,4.8101025,Gas Giant,High,0,HAT-P-67
HAT-P-68 b,12.016,91.94,2.29840551,Dwarf Planet,Low,1,HAT-P-68
HAT-P-69 b,18.786,93.44,4.7869491,Ice Giant,High,0,HAT-P-69
HAT-P-7 b,16.926,66.04,2.20474,Gas Giant,High,0,HAT-P-7
HAT-P-70 b,20.961,23.15,2.74432452,Ice Giant,High,0,HAT-P-70
HAT-P-8 b,15.693,6.9,3.07634,Ice Giant,High,0,HAT-P-8
HAT-P-9 b,15.614,15.02,3.92281072,Gas Giant,High,0,HAT-P-9
HATS-1 b,14.594,88.44,3.446459,Proto Planet,Low,1,HATS-1
HATS-10 b,10.862,64.2,3.312846,Ice Giant,High,0,HATS-10
HATS-11 b,18.03,33.17,3.619188,Proto Planet,Low,1,HATS-11
HATS-12 b,7.76,88.75,3.142702,Dwarf Planet,Low,1,HATS-12
HATS-13 b,13.585,71.19,3.0440499,Ice Giant,High,0,HATS-13
HATS-14 b,11.646,58.52,2.7667641,Ice Giant,High,0,HATS-14
HATS-15 b,12.386,34.45,1.74748753,Dwarf Planet,Low,1,HATS-15
HATS-16 b,14.572,22.64,2.686502,Chthonian Planet,Low,1,HATS-16
HATS-17 b,8.709,24.14,16.254611,Ice Giant,High,0,HATS-17
HATS-18 b,14.897,73.12,0.83784,Ice Giant,High,0,HATS-18
HATS-2 b,12.576,101.26,1.35413379,Proto Planet,Low,1,HATS-2
HATS-22 b,10.682,106.23,4.7228124,Ice Giant,High,0,HATS-22
HATS-23 b,20.849,17.57,2.1605156,Dwarf Planet,Low,1,HATS-23
HATS-24 b,15.637,94.2,1.3484978,Chthonian Planet,Low,1,HATS-24
HATS-25 b,14.123,122.24,4.2986432,Dwarf Planet,Low,1,HATS-25
HATS-26 b,19.616,66.19,3.3023881,Chthonian Planet,Low,1,HATS-26
HATS-27 b,16.814,3.23,4.637038,Gas Giant,High,0,HATS-27
HATS-28 b,13.384,45.84,3.1810781,Chthonian Planet,Low,1,HATS-28
HATS-29 b,14.022,95.49,4.6058749,Gas Giant,High,0,HATS-29
HATS-3 b,15.48,112.38,3.547851,Gas Giant,High,0,HATS-3
HATS-30 b,13.171,70.66,3.1743516,Ice Giant,High,0,HATS-30
HATS-31 b,18.383,22.83,3.37796,Dwarf Planet,Low,1,HATS-31
HATS-32 b,14,43.87,2.8126548,Gas Giant,High,0,HATS-32
HATS-33 b,13.787,55.93,2.5495551,Proto Planet,Low,1,HATS-33
HATS-34 b,16.029,15.3,2.1061607,Ice Giant,High,0,HATS-34
HATS-35 b,16.41,21.11,1.8209993,Gas Giant,High,0,HATS-35
HATS-36 b,12.92,37.16,4.175186,Gas Giant,High,0,HATS-36
HATS-37 A b,6.793,40.55,4.3315366,Chthonian Planet,Low,1,HATS-37
HATS-38 b,6.882,17.01,4.375021,Ice Giant,High,0,HATS-38
HATS-39 b,17.598,30.3,4.5776348,Ice Giant,High,0,HATS-39
HATS-4 b,11.433,114.17,2.516729,Dwarf Planet,Low,1,HATS-4
HATS-40 b,17.71,15.41,3.2642736,Ice Giant,High,0,HATS-40
HATS-41 b,14.908,52.45,4.193649,Dwarf Planet,Low,1,HATS-41
HATS-42 b,15.693,119.78,2.292102,Ice Giant,High,0,HATS-42
HATS-43 b,13.227,95.87,4.3888497,Gas Giant,High,0,HATS-43
HATS-44 b,11.96,67.43,2.7439004,Chthonian Planet,Low,1,HATS-44
HATS-45 b,14.415,116.01,4.1876244,Proto Planet,Low,1,HATS-45
HATS-46 b,10.122,115.59,4.7423729,Garden World,Medium,1,HATS-46
HATS-47 b,12.52,43.5,3.9228038,Proto Planet,Low,1,HATS-47
HATS-48 A b,8.967,38.23,3.1316666,Gas Giant,High,0,HATS-48
HATS-49 b,8.575,118.47,4.1480467,Ice Giant,High,0,HATS-49
HATS-5 b,10.223,67.02,4.763387,Ice Giant,High,0,HATS-5
HATS-50 b,12.666,120.98,3.8297015,Ice Giant,High,0,HATS-50
HATS-51 b,15.805,104.68,3.3488702,Garden World,Medium,1,HATS-51
HATS-52 b,15.491,59.2,1.36665436,Proto Planet,Low,1,HATS-52
HATS-53 b,15.02,106.4,3.8537768,Proto Planet,Low,1,HATS-53
HATS-54 b,11.377,117.95,2.5441765,Chthonian Planet,Low,1,HATS-54
HATS-55 b,14.022,92.1,4.2042001,Proto Planet,Low,1,HATS-55
HATS-56 b,18.921,31.69,4.324799,Gas Giant,High,0,HATS-56
HATS-57 b,12.767,112.63,2.350621,Dwarf Planet,Low,1,HATS-57
HATS-58 A b,12.274,83.58,4.2180896,Gas Giant,High,0,HATS-58
HATS-59 b,12.621,120.43,5.416081,Proto Planet,Low,1,HATS-59
HATS-59 c,12.3,50.49,1422,Dwarf Planet,Low,1,HATS-59
HATS-6 b,11.187,19.04,3.3252725,Ice Giant,High,0,HATS-6
HATS-60 b,12.924,10.33,3.560829,Proto Planet,Low,1,HATS-60
HATS-61 b,13.395,115.43,7.817953,Dwarf Planet,Low,1,HATS-61
HATS-62 b,11.825,34.8,3.2768837,Proto Planet,Low,1,HATS-62
HATS-63 b,13.529,96.71,3.0566527,Ice Giant,High,0,HATS-63
HATS-64 b,18.82,103.88,4.908897,Chthonian Planet,Low,1,HATS-64
HATS-65 b,16.825,33.88,3.105161,Proto Planet,Low,1,HATS-65
HATS-66 b,15.816,40.1,3.1414391,Gas Giant,High,0,HATS-66
HATS-67 b,18.887,27.99,1.6091788,Chthonian Planet,Low,1,HATS-67
HATS-68 b,13.809,25.94,3.5862202,Ice Giant,High,0,HATS-68
HATS-69 b,10.593,99.74,2.2252577,Dwarf Planet,Low,1,HATS-69
HATS-7 b,6.311,58.78,3.185315,Gas Giant,High,0,HATS-7
HATS-70 b,15.513,25.77,1.8882378,Dwarf Planet,Low,1,HATS-70
HATS-71 b,11.478,87.32,3.7955202,Ice Giant,High,0,HATS-71
HATS-72 b,8.097,38.14,7.3279474,Garden World,Medium,1,HATS-72
HATS-74 A b,11.568,118.97,1.73185606,Proto Planet,Low,1,HATS-74
HATS-75 b,9.909,86.68,2.7886556,Ice Giant,High,0,HATS-75
HATS-76 b,12.094,55.76,1.9416423,Dwarf Planet,Low,1,HATS-76
HATS-77 b,13.058,2.91,3.0876262,Garden World,Medium,1,HATS-77
HATS-8 b,9.785,92.16,3.583893,Chthonian Planet,Low,1,HATS-8
HATS-9 b,13.85,18.34,1.915291,Garden World,Medium,1,HATS-9
HD 100546 b,77.342,116.59,0,Chthonian Planet,Low,1,HD 100546
HD 100655 b,13.5,86.11,157.57001,Gas Giant,High,0,HD 100655
HD 100777 b,13.7,38.33,383,Proto Planet,Low,1,HD 100777
HD 101581 b,0.956,113.92,4.46569,Proto Planet,Low,1,HIP 56998
HD 101581 c,0.99,104.36,6.20401,Dwarf Planet,Low,1,HIP 56998
HD 10180 c,3.68,31.29,5.75969,Proto Planet,Low,1,HD 10180
HD 10180 d,3.45,122.87,16.357,Dwarf Planet,Low,1,HD 10180
HD 10180 e,5.39,29.84,49.748,Ice Giant,High,0,HD 10180
HD 10180 f,5.24,3.82,122.744,Dwarf Planet,Low,1,HD 10180
HD 10180 g,4.91,108.1,604.67,Garden World,Medium,1,HD 10180
HD 10180 h,9.4,46.01,2205,Proto Planet,Low,1,HD 10180
HD 101930 b,10.6,92.21,70.46,Gas Giant,High,0,HD 101930
HD 102117 b,8.47,68.68,20.8133,Ice Giant,High,0,HD 102117
HD 102195 b,14.2,44.68,4.11377,Garden World,Medium,1,HD 102195
HD 102272 b,12.9,79.18,127.58,Dwarf Planet,Low,1,HD 102272
HD 102329 b,12.6,13.61,778.09998,Chthonian Planet,Low,1,HD 102329
HD 102329 c,13.5,111.27,1123,Gas Giant,High,0,HD 102329
HD 102365 b,4.14,92.94,122.1,Gas Giant,High,0,HD 102365
HD 102843 b,13.1,82.5,3090.942,Proto Planet,Low,1,HD 102843
HD 102956 b,13.8,101.6,6.4947,Proto Planet,Low,1,HD 102956
HD 103197 b,5.83,31.69,47.84,Gas Giant,High,0,HD 103197
HD 103720 b,14.1,21.92,4.5557,Ice Giant,High,0,HD 103720
HD 103774 b,13.3,8.35,5.8881,Dwarf Planet,Low,1,HD 103774
HD 103891 b,13.2,0.45,1919,Proto Planet,Low,1,HD 103891
HD 103949 b,3.35,72.84,120.878,Proto Planet,Low,1,HD 103949
HD 104067 b,9.2,114.42,55.851,Gas Giant,High,0,HD 104067
HD 104067 c,3.69,43.32,13.8992,Dwarf Planet,Low,1,HD 104067
HD 10442 b,13.6,16.21,1032.3,Proto Planet,Low,1,HD 10442
HD 104985 b,12.8,84.97,199.68,Ice Giant,High,0,HD 104985
HD 105618 b,5.44,36.44,10.02245,Gas Giant,High,0,HD 105618
HD 105618 c,11.9,6.71,77114.07158,Chthonian Planet,Low,1,HD 105618
HD 105779 b,14.1,16.93,2412,Dwarf Planet,Low,1,HD 105779
HD 106252 b,12.5,58.97,1531,Dwarf Planet,Low,1,HD 106252
HD 106270 b,12.4,112.67,1888,Ice Giant,High,0,HD 106270
HD 106315 b,2.44,13.97,9.55237,Chthonian Planet,Low,1,HD 106315
HD 106315 c,4.35,50.19,21.05704,Gas Giant,High,0,HD 106315
HD 10647 b,13.8,7.65,989.2,Chthonian Planet,Low,1,HD 10647
HD 106515 A b,12.5,111.33,3586.86089,Gas Giant,High,0,HD 106515
HD 106906 b,12.4,10.94,0,Dwarf Planet,Low,1,HD 106906
HD 10697 b,12.8,114.18,1075.3799,Proto Planet,Low,1,HD 10697
HD 107148 b,9.6,96.2,48.056,Dwarf Planet,Low,1,HD 107148
HD 107148 c,4.7,90.53,18.3267,Dwarf Planet,Low,1,HD 107148
HD 108147 b,10.9,25.36,10.8985,Dwarf Planet,Low,1,HD 108147
HD 108202 b,13.1,107.51,2990,Gas Giant,High,0,HD 108202
HD 108236 b,1.615,57.06,3.795963,Garden World,Medium,1,HD 108236
HD 108236 c,2.071,68.65,6.203449,Dwarf Planet,Low,1,HD 108236
HD 108236 d,2.539,118.89,14.175685,Garden World,Medium,1,HD 108236
HD 108236 e,3.083,115.6,19.590025,Ice Giant,High,0,HD 108236
HD 108236 f,2.017,117.41,29.54115,Ice Giant,High,0,HD 108236
HD 108341 b,13.3,62.38,1129,Proto Planet,Low,1,HD 108341
HD 108863 b,13.3,98.1,437.7,Garden World,Medium,1,HD 108863
HD 108874 b,13.6,0.43,394.48123,Proto Planet,Low,1,HD 108874
HD 108874 c,13.8,98.48,1624,Proto Planet,Low,1,HD 108874
HD 109246 b,13.9,35.66,68.27,Ice Giant,High,0,HD 109246
HD 109271 b,4.31,95.39,7.8543,Ice Giant,High,0,HD 109271
HD 109271 c,5.27,122.32,30.93,Proto Planet,Low,1,HD 109271
HD 109286 b,13.2,14.92,520.1,Gas Giant,High,0,HD 109286
HD 109749 b,11.1,102.08,5.239891,Proto Planet,Low,1,HD 109749
HD 10975 b,14.3,110.3,283.8,Ice Giant,High,0,HD 10975
HD 109833 b,2.888,119.06,9.188526,Proto Planet,Low,1,HD 109833
HD 109833 c,2.59,82.58,13.900148,Ice Giant,High,0,HD 109833
HD 109988 b,12.1,21.78,17132.15854,Chthonian Planet,Low,1,HD 109988
HD 89744 b,12.4,44.72,835.477,Proto Planet,Low,1,HD 89744
HD 89839 b,2.2,7.1,9.113678,Dwarf Planet,Low,1,HD 89839
HD 90156 b,2.388,8.14,13.673694,Dwarf Planet,Low,1,HD 90156
HD 9174 b,2.852,73.92,20.519617,Ice Giant,High,0,HD 9174
HD 92788 b,1.94,116.31,30.793091,Gas Giant,High,0,HD 92788
HD 92788 c,2.601,89.19,41.05854,Dwarf Planet,Low,1,HD 92788
HD 93083 b,2.607,17.68,54.76992,Dwarf Planet,Low,1,HD 93083
HD 93351 b,3.2,44.72,10.18271,Proto Planet,Low,1,HD 93351
HD 93351 c,2.05,15.78,2.541,Gas Giant,High,0,HD 93351
HD 93385 b,2.114,57.07,6.744,Dwarf Planet,Low,1,HD 93385
HD 93385 c,11.9,50.67,24469.67342,Gas Giant,High,0,HD 93385
HD 93385 d,12.6,21.36,17244.90764,Ice Giant,High,0,HD 93385
HD 93963 A b,12.6,34.16,1169.13202,Proto Planet,Low,1,HD 93963
HD 93963 A c,12.2,111.22,26472.44623,Dwarf Planet,Low,1,HD 93963
HD 9446 b,12.9,20.87,1056.4,Chthonian Planet,Low,1,HD 9446
HD 9446 c,12.9,46.04,810,Gas Giant,High,0,HD 9446
HD 94771 b,12.2,40.78,466.63,Proto Planet,Low,1,HD 94771
HD 94834 b,13.1,81.07,2615,Proto Planet,Low,1,HD 94834
HD 95086 b,12.9,114.65,613.2,Gas Giant,High,0,HD 95086
HD 95089 b,13.1,20.09,317.58639,Proto Planet,Low,1,HD 95089
HD 95089 c,12.1,15.71,5429.93477,Ice Giant,High,0,HD 95089
HD 95127 b,13.9,32.8,228.53731,Garden World,Medium,1,HD 95127
HD 95338 b,13.2,12.36,663.2,Gas Giant,High,0,HD 95338
HD 95544 b,13.8,9.75,1818,Proto Planet,Low,1,HD 95544
HD 95735 c,12.7,117.33,610.2,Chthonian Planet,Low,1,GJ 411
HD 95872 b,11.209,116.28,109.75,Gas Giant,High,0,HD 95872
HD 96063 b,13.7,77.19,937.70001,Dwarf Planet,Low,1,HD 96063
HD 96127 b,13.9,84.29,1121.79,Dwarf Planet,Low,1,HD 96127
HD 96167 b,13.7,63.61,493.7,Chthonian Planet,Low,1,HD 96167
HD 96700 b,13.4,18.14,4352,Garden World,Medium,1,HD 96700
HD 96700 c,12.6,62.24,32669.22247,Ice Giant,High,0,HD 96700
HD 96700 d,12.9,111.63,1617.7,Ice Giant,High,0,HD 96700
HD 96992 b,14,78.37,223.92,Proto Planet,Low,1,HD 96992
HD 97037 b,12.3,9.65,26500,Proto Planet,Low,1,HD 97037
HD 97048 b,6.09,90.25,10.49488,Garden World,Medium,1,HD 97048
HD 97658 b,12.5,101.4,15319.22517,Dwarf Planet,Low,1,HD 97658
HD 98219 b,12.6,56.26,3700,Dwarf Planet,Low,1,HD 98219
HD 98649 b,13.6,89.86,670,Gas Giant,High,0,HD 98649
HD 98736 b,13.7,118.03,907,Ice Giant,High,0,HD 98736
HD 99109 b,13.4,96.75,2621.75,Proto Planet,Low,1,HD 99109
HD 99283 b,12.8,35.69,433.70001,Ice Giant,High,0,HD 99283
HD 99492 b,8.59,105.69,25.8,Dwarf Planet,Low,1,HD 99492
HD 99492 c,12.554,13.47,6.134989,Ice Giant,High,0,HD 99492
HD 99706 b,12.4,54.94,5070,Dwarf Planet,Low,1,HD 99706
HD 99706 c,14.1,113.45,1945,Garden World,Medium,1,HD 99706
HIP 105854 b,5.38,114.95,37.91,Ice Giant,High,0,HIP 105854
HIP 107772 b,12.7,83.5,711,Ice Giant,High,0,HIP 107772
HIP 107773 b,12.7,12.04,2142,Ice Giant,High,0,HIP 107773
HIP 109384 b,13.6,93.64,63.33,Gas Giant,High,0,HIP 109384
HIP 109600 b,3.23,58.28,4.36305,Ice Giant,High,0,HIP 109600
HIP 113103 b,12.5,4.58,36336.70679,Ice Giant,High,0,HIP 113103
HIP 113103 c,10.1,110.66,84.96276,Chthonian Planet,Low,1,HIP 113103
HIP 114933 b,14,18.65,270.66,Garden World,Medium,1,HIP 114933
HIP 116454 b,13.2,19.74,58.83,Proto Planet,Low,1,HIP 116454
HIP 12961 b,12.4,111.47,14901.99295,Proto Planet,Low,1,HIP 12961
HIP 14810 b,11.9,13.44,1757.39151,Garden World,Medium,1,HIP 14810
HIP 14810 c,2.4,78.61,9.6737,Gas Giant,High,0,HIP 14810
HIP 14810 d,13.2,103.01,557.69994,Proto Planet,Low,1,HIP 14810
HIP 19976 b,4.07,34.24,4.15466,Proto Planet,Low,1,HIP 19976
HIP 21152 b,12.7,122.35,2822.72698,Proto Planet,Low,1,HIP 21152
HIP 29442 c,13.4,18.54,133.60001,Dwarf Planet,Low,1,HD 42813
HIP 29442 d,10.3,101.03,960.41,Garden World,Medium,1,HD 42813
HIP 34222 b,13.3,11.71,262.70862,Chthonian Planet,Low,1,HIP 34222
HIP 35173 b,13.4,61.14,1708,Ice Giant,High,0,HIP 35173
HIP 35965 b,12.7,103.44,1257.25303,Garden World,Medium,1,HIP 35965
HIP 38594 b,5.67,120.6,65.78395,Proto Planet,Low,1,HIP 38594
HIP 38594 c,13.5,48.15,453.019,Proto Planet,Low,1,HIP 38594
HIP 39017 b,13,69.2,921.538,Dwarf Planet,Low,1,HIP 39017
HIP 41378 b,13.9,115.79,298.2,Proto Planet,Low,1,HIP 41378
HIP 41378 c,13.3,45.17,1840,Chthonian Planet,Low,1,HIP 41378
HIP 41378 d,13.7,36.61,10.70871,Dwarf Planet,Low,1,HIP 41378
HIP 41378 e,13.4,101.39,896,Dwarf Planet,Low,1,HIP 41378
HIP 41378 f,13.1,63.99,2613,Garden World,Medium,1,HIP 41378
HIP 4845 b,12.4,0.49,471.60001,Dwarf Planet,Low,1,HIP 4845
HIP 48714 b,12.8,50.99,908,Gas Giant,High,0,HIP 48714
HIP 5158 b,13.6,89.14,1544,Ice Giant,High,0,HIP 5158
HIP 5158 c,13.6,100.18,649,Proto Planet,Low,1,HIP 5158
HIP 54373 b,14.3,15.16,3568,Dwarf Planet,Low,1,HIP 54373
HIP 54373 c,13.3,73.83,5769,Proto Planet,Low,1,HIP 54373
HIP 54597 b,3.16,18.65,3.2696,Gas Giant,High,0,HIP 54597
HIP 55507 b,5.91,25.24,1291.5646,Proto Planet,Low,1,HIP 55507
HIP 56640 b,2.97,25.85,12.089,Ice Giant,High,0,HIP 56640
HIP 57274 b,3.37,116.71,58.883,Proto Planet,Low,1,HIP 57274
HIP 57274 c,7.59,105.69,966.5,Ice Giant,High,0,HIP 57274
HIP 57274 d,1.33,6.64,4.3203,Proto Planet,Low,1,HIP 57274
HIP 5763 b,2.24,103.68,26.915,Proto Planet,Low,1,HIP 5763
HIP 63242 b,13.5,8.48,258.17999,Garden World,Medium,1,HIP 63242
HIP 65 A b,13.9,47.98,5000,Ice Giant,High,0,HIP 65
HIP 65407 b,13.3,72.79,4055,Dwarf Planet,Low,1,HIP 65407
HIP 65407 c,2.857,97.37,15.92347557,Ice Giant,High,0,HIP 65407
HIP 65426 b,12.8,117.86,2422.32597,Dwarf Planet,Low,1,HIP 65426
HIP 65891 b,12.3,70.59,1187.59765,Ice Giant,High,0,HIP 65891
HIP 66074 b,1.664,111.03,11.57797,Dwarf Planet,Low,1,HIP 66074
HIP 67522 b,2.916,85.45,27.59221,Proto Planet,Low,1,HIP 67522
HIP 67522 c,2.562,59.89,107.245,Dwarf Planet,Low,1,HIP 67522
HIP 67537 b,13.3,91.12,464.29999,Chthonian Planet,Low,1,HIP 67537
HIP 67851 b,13.9,20.33,4540,Ice Giant,High,0,HIP 67851
HIP 67851 c,8.18,122.92,142.22895,Gas Giant,High,0,HIP 67851
HIP 70849 b,9.32,3.34,330,Ice Giant,High,0,HIP 70849
HIP 71135 b,1.31,28.39,1.62116,Ice Giant,High,0,HIP 71135
HIP 74890 b,12.6,83.49,479.9,Dwarf Planet,Low,1,HIP 74890
HIP 75092 b,3.35,123.37,14.1815,Dwarf Planet,Low,1,HIP 75092
HIP 77900 b,3.13,45.15,53.753,Proto Planet,Low,1,HIP 77900
HIP 78530 b,13.9,22.18,19.382,Gas Giant,High,0,HIP 78530
HIP 79098 AB b,12.8,90.19,931,Proto Planet,Low,1,HIP 79098
HIP 79431 b,13.2,28.89,4218,Garden World,Medium,1,HIP 79431
HIP 81208 C b,12.1,49.94,1124.79139,Chthonian Planet,Low,1,HIP 81208
HIP 8152 b,11.5,113.49,11.53533,Garden World,Medium,1,HIP 8152
HIP 8152 c,12.2,35.5,2744,Ice Giant,High,0,HIP 8152
HIP 8541 b,4.07,58.6,9.02378,Proto Planet,Low,1,HIP 8541
HIP 86221 b,13.4,66.53,14386,Gas Giant,High,0,HIP 86221
HIP 90988 b,3.77,99.63,15.5083,Ice Giant,High,0,HIP 90988
HIP 91258 b,14.3,110.81,94.44,Ice Giant,High,0,HIP 91258
HIP 94235 b,13.6,0.38,201.99,Ice Giant,High,0,HIP 94235
HIP 948 b,13.7,79.78,1069.8,Gas Giant,High,0,HIP 948
HIP 9618 b,14.1,115.88,5000,Dwarf Planet,Low,1,HIP 9618
HIP 9618 c,12.5,38.99,653.21997,Gas Giant,High,0,HIP 9618
HIP 97166 b,10.9,44.28,108.45299,Ice Giant,High,0,HIP 97166
HIP 97166 c,12.7,91.38,351.43394,Garden World,Medium,1,HIP 97166
HIP 97233 b,12.4,56.22,10159.64279,Proto Planet,Low,1,HIP 97233
HIP 99770 b,12.9,53.53,1928,Proto Planet,Low,1,HIP 99770
HN Lib b,13.1,41.17,1299,Chthonian Planet,Low,1,HN Lib
HN Peg b,13.5,64.71,386.29999,Proto Planet,Low,1,HN Peg
HR 2562 b,13.7,23.76,2.1974,Proto Planet,Low,1,HR 2562
HR 5183 b,12.9,17.06,1039.15,Dwarf Planet,Low,1,HR 5183
HR 810 b,4.77,103.33,40.43914,Dwarf Planet,Low,1,HR 810
HR 858 b,12.8,87.77,103.95,Proto Planet,Low,1,HR 858
HR 858 c,13.2,28.68,176.13,Ice Giant,High,0,HR 858
